Grado;Curso;Asignatura;Profesor;Cuatrimestre;Rama;Tarde;Duracion;Dias a la Semana;Preferencia Hora;Preferencia Dia;Coincidir
Fisica;1;Fisica General;Maria Luisa No;1 y 2;No;No;1;4;1 2 3 4;2 3 4;No
Fisica;1;Algebra;Jose Antonio Santiesteban;1 y 2;No;No;1;3;1 2 3;0;No
Fisica;1;Algebra GA1;Antonio Vera;1 y 2;No;No;1;1;1 2 3 4;1 2 3;Calculo GA2
Fisica;1;Algebra GA2;Antonio Vera;1 y 2;No;No;1;1;1 2 3 4;1 2 3;Calculo GA1
Fisica;1;Calculo;Antonio Vera;1 y 2;No;No;1;3;3;5;No
Fisica;1;Calculo GA1;Abdel Mallik;1 y 2;No;No;1;1;2;2;Algebra GA2
Fisica;1;Calculo GA2;Abdel Mallik;1 y 2;No;No;1;1;2;2;Algebra GA1
Fisica;1;Quimica I;Jorge Lago;1;No;No;1;4;2;2;No
Fisica;1;Introduccion a la computacion;Maria Amparo Varona ;1;No;No;1;4;1;1 2 3 4;No
Fisica;1;Quimica II;Maria Puy Elizalde;2;No;No;1;4;1 4;3;No
Fisica;1;Tecnicas Experimentales I;Hegoi Manzano;2;No;Si;4;1;8 9;1;No
Fisica;2;Analisis Vectorial y Complejo;Javier Canto;1 y 2 ;No;Si;1;3;7;2;No
Fisica;2;Mecanica y Ondas;Josu Ortega ;1 y 2;No;Si;1;5;9;1 2 3 4;No
Fisica;2;Metodos Matematicos;Ivan Esteban;1 y 2;No;Si;1;3;7 8 10;2 3 4 5;No
Fisica;2;Metodos Matematicos GA1;Mariam Bouhmadi;1 y 2;No;Si;1;1;8;2 3 4 5;No
Fisica;2;Metodos Matematicos GA2;Mariam Bouhmadi;1 y 2;No;Si;1;1;8;2 3 4 5;No
Fisica;2;Electromagnetimo I;Aritz Leonardo;1;No;Si;1;4;7 8 10;2;No
Fisica;2;Electronica;Javier Echanove;1;No;Si;1;4;7 9;3;No
Fisica;2;Fisica Moderna;I¤igo Gonzalez;2;No;Si;1;4;10;0;No
Fisica;2;Tecnicas Experimentales II;Hegoi Manzano;2;No;No;4;1;0;5;No
Fisica;3;Fisica Cuantica;I¤igo Etxebarria;1;No;No;1;4;4 5;3;No
Fisica;3;Fisica Cuantica;Cesar Luis Folcia;2;No;No;1;4;1 2 3;1;No
Fisica;3;Metodos Computacionales;Gotzon Madariaga;1 y 2;No;No;1;4;1 2 3;2;No
Fisica;3;Termodinamica y Fisica Estadistica;Jose Miguel Campillo;1;No;No;1;4;1 2 3;0;No
Fisica;3;Termodinamica y Fisica Estadistica;Hegoi Manzano;2;No;No;1;4;2 3 4;2 3 4 5;No
Fisica;3;Tecnicas Experimentales III;Josu Ortega;2;No;Si;4;1;0;4 5;No
Fisica;3;Tecnicas Experimentales III;Jose Angel Garcia;1;No;Si;4;1;0;2 3 4 5;No
Fisica;3;Electromagnetismo II;Patricia Lazpita;1;No;No;1;4;2 3 4;4 5;No
Fisica;3;Optica;Jose Angel Garcia;1;No;No;1;4;3;1 2 3 4 5;No
Fisica;4;Fisica del Estado Solido I;Jesus Martinez;1;No;No;1;4;2;2 3 4 5;No
Fisica;4;Fisica Nuclear y de Particulas;Manuel Angel Valle;2;No;No;1;4;1;1 2 3 4;No
Fisica;Optativa;Sensores y Actuadores;Alfredo Garcia;1;Instrumentacion y Medida;No;1;4;1 2 3 4;2 3 4 5;No
Fisica;Optativa;Se¤ales y Sistemas;Santiago Alonso;1;Instrumentacion y Medida;No;1;4;2 4;2 4 5;No
Fisica;Optativa;Astrofisica;David Brizuela;2;Fisica Fundamental;No;1;4;2 4;1 3 4;No
Fisica;Optativa;Comunicaci¢n Cientifico-tecnica en Euskera;Gontzal Aldai;1;;Si;2;2;7 10;2 3 4 5;No
Fisica;Optativa;Comunicaci¢n Cientifico-tecnica Oral en Euskera;Gontzal Aldai;2;;Si;2;2;7 9;1 3 4;No
